model,n_clusters,n_observations,n_assigned_clusters,inertia,davies_bouldin_score,calinski_harabasz_score,silhouette_score,is_valid_clustering,evaluation_note,cluster_sizes,min_cluster_count,min_cluster_share,n_iter,gmm_lower_bound
kmeans_k6,6,59472,6,2353859.5506446487,0.9399521985855598,23334.51280918344,0.4407572837804276,True,Valid clustering solution,"{0: 2938, 1: 47922, 2: 1454, 3: 4906, 4: 998, 5: 1254}",998,0.01678100618778585,34.0,
kmeans_k5,5,59472,5,2651025.6145771383,0.9307738372387127,24232.49569539331,0.42996453146853875,True,Valid clustering solution,"{0: 2996, 1: 48711, 2: 1459, 3: 4990, 4: 1316}",1316,0.022128060263653482,42.0,
bisecting_kmeans_k5,5,59472,5,2724059.7444733186,1.0339538025541046,23184.219069662242,0.3503300732136884,True,Valid clustering solution,"{0: 2197, 1: 1409, 2: 47254, 3: 5392, 4: 3220}",1409,0.023691821361312888,,
minibatch_kmeans_k5,5,59472,5,2719780.9634007886,1.1609866843324015,23535.725175298416,0.2837213695125281,True,Valid clustering solution,"{0: 8699, 1: 2340, 2: 1286, 3: 44309, 4: 2838}",1286,0.021623621199892386,1.0,
bisecting_kmeans_k6,6,59472,6,2555812.983987795,1.4345234408438199,20550.927265552702,0.25139769789140337,True,Valid clustering solution,"{0: 2197, 1: 1409, 2: 38076, 3: 9178, 4: 5392, 5: 3220}",1409,0.023691821361312888,,
minibatch_kmeans_k6,6,59472,6,2508363.0863329577,1.4562656036739916,21318.046446791137,0.1999239581547856,True,Valid clustering solution,"{0: 6717, 1: 2032, 2: 1288, 3: 15725, 4: 2563, 5: 31147}",1288,0.021657250470809793,2.0,
minibatch_kmeans_k4,4,59472,4,3469995.5674270364,1.7118453982856363,20050.045974366498,0.09540212216069494,True,Valid clustering solution,"{0: 17813, 1: 2718, 2: 1320, 3: 37621}",1320,0.022195318805488296,1.0,
gaussian_mixture_k3,3,59472,3,,4.37595860754545,2080.7844562467476,-0.0198121019572387,True,Valid clustering solution,"{0: 8261, 1: 20047, 2: 31164}",8261,0.13890570352434758,37.0,11.479355256790958
gaussian_mixture_k5,5,59472,5,,2.9394162176408627,2732.217077693988,-0.07536453311745814,True,Valid clustering solution,"{0: 11272, 1: 11465, 2: 4903, 3: 27438, 4: 4394}",4394,0.0738835082055421,17.0,20.850639301349123
gaussian_mixture_k6,6,59472,6,,3.6125858725169895,2337.3588418393506,-0.07809337734432441,True,Valid clustering solution,"{0: 9837, 1: 6139, 2: 2228, 3: 23616, 4: 13455, 5: 4197}",2228,0.037463007801990855,33.0,43.59217502824952
gaussian_mixture_k4,4,59472,4,,2.7131523388071423,2857.6513042985125,-0.08047334491757502,True,Valid clustering solution,"{0: 30119, 1: 6414, 2: 11696, 3: 11243}",6414,0.10784907183212268,19.0,18.164271452362037
minibatch_kmeans_k3,3,59472,3,3672930.2264363654,0.7647497284212967,26769.24056629443,0.6256273405475578,False,"Invalid clustering solution, one cluster dominates the portfolio. max_cluster_share=0.9239","{0: 54945, 1: 3198, 2: 1329}",1329,0.022346650524616627,1.0,
kmeans_k3,3,59472,3,3666847.5139167807,0.7819642517677629,26802.668329758428,0.6137200192699571,False,"Invalid clustering solution, one cluster dominates the portfolio. max_cluster_share=0.9199","{0: 1369, 1: 54709, 2: 3394}",1369,0.023019235942964757,17.0,
kmeans_k4,4,59472,4,2965819.3736994537,0.8793707192694675,26777.09014948227,0.5614573736101283,False,"Invalid clustering solution, one cluster dominates the portfolio. max_cluster_share=0.8714","{0: 3049, 1: 51822, 2: 1343, 3: 3258}",1343,0.02258205542103847,21.0,
bisecting_kmeans_k3,3,59472,3,4274306.245403878,1.186511815154917,18767.683334219375,0.5415040707559275,False,"Invalid clustering solution, one cluster dominates the portfolio. max_cluster_share=0.8852","{0: 3606, 1: 52646, 2: 3220}",3220,0.054143126177024485,,
bisecting_kmeans_k4,4,59472,4,3071329.892365887,0.8972539266880087,25176.23095047387,0.5380141773808597,False,"Invalid clustering solution, one cluster dominates the portfolio. max_cluster_share=0.8852","{0: 2197, 1: 1409, 2: 52646, 3: 3220}",1409,0.023691821361312888,,
