threshold,precision,recall,predicted_positive_rate,false_positive,false_negative,true_positive,true_negative
0.25,0.24043079609954882,0.9182879377431906,0.5776376628835646,5219,147,1652,4877
0.3,0.272108843537415,0.8893829905503057,0.4943253467843632,4280,199,1600,5816
0.35,0.308868501529052,0.8421345191773207,0.4123581336696091,3390,284,1515,6706
0.39999999999999997,0.34040074557315936,0.8121178432462479,0.36082387557797396,2831,338,1461,7265
0.44999999999999996,0.35988872028325747,0.7909949972206781,0.3324085750315259,2531,376,1423,7565
0.49999999999999994,0.37523553162853296,0.7748749305169539,0.3123160992013451,2321,405,1394,7775
0.5499999999999999,0.39622641509433965,0.7470817120622568,0.2851618327028163,2048,455,1344,8048
0.5999999999999999,0.4222222222222222,0.707615341856587,0.25346784363177804,1742,526,1273,8354
0.6499999999999999,0.45229818462726923,0.650917176209005,0.21765447667087012,1418,628,1171,8678
0.7,0.48148148148148145,0.5925514174541412,0.18612862547288778,1148,733,1066,8948
0.7499999999999999,0.5306490384615384,0.49082823790994995,0.13989071038251366,781,916,883,9315
