threshold,accuracy,balanced_accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate,model
0.05,0.15653635981504835,0.5028916399232185,0.15198647506339813,0.9994441356309061,0.2638491452050774,1798,64,10032,1,0.994535519125683,logistic_regression_baseline
0.1,0.20596889449348466,0.5292711922189559,0.1592084150472455,0.9927737632017788,0.2744103864177614,1786,664,9432,13,0.9430853299705759,logistic_regression_baseline
0.15000000000000002,0.35788146279949556,0.6107678129864363,0.1874531634728616,0.9733185102834908,0.3143626570915619,1751,2506,7590,48,0.7852879361076083,logistic_regression_baseline
0.2,0.46582597730138714,0.6608813037970558,0.21312507872528028,0.9405225125069483,0.34750462107208874,1692,3849,6247,107,0.6674232870954182,logistic_regression_baseline
0.25,0.5488860865910046,0.7006752683961595,0.24043079609954882,0.9182879377431906,0.38108419838523644,1652,4877,5219,147,0.5776376628835646,logistic_regression_baseline
0.30000000000000004,0.6234552332912988,0.7327263605683383,0.272108843537415,0.8893829905503057,0.416720927204063,1600,5816,4280,199,0.4943253467843632,logistic_regression_baseline
0.35000000000000003,0.691130727196301,0.753178987005459,0.308868501529052,0.8421345191773207,0.4519689737470167,1515,6706,3390,284,0.4123581336696091,logistic_regression_baseline
0.4,0.7335855401429172,0.7658548804186865,0.34040074557315936,0.8121178432462479,0.47972418322114596,1461,7265,2831,338,0.36082387557797396,logistic_regression_baseline
0.45,0.7556116015132408,0.7701508266610522,0.35988872028325747,0.7909949972206781,0.49469841821658267,1423,7565,2531,376,0.3324085750315259,logistic_regression_baseline
0.5,0.7708280790248003,0.7724909517877955,0.37523553162853296,0.7748749305169539,0.5056220529561117,1394,7775,2321,405,0.3123160992013451,logistic_regression_baseline
0.55,0.7895754518705338,0.772114548582634,0.39622641509433965,0.7470817120622568,0.5178193026391832,1344,8048,2048,455,0.2851618327028163,logistic_regression_baseline
0.6000000000000001,0.8093316519546028,0.7675358801200527,0.4222222222222222,0.707615341856587,0.5288741171582884,1273,8354,1742,526,0.25346784363177804,logistic_regression_baseline
0.65,0.8279949558638083,0.7552327560918242,0.45229818462726923,0.650917176209005,0.5337283500455788,1171,8678,1418,628,0.21765447667087012,logistic_regression_baseline
0.7000000000000001,0.8418663303909205,0.7394215090440278,0.48148148148148145,0.5925514174541412,0.5312733615748816,1066,8948,1148,733,0.18612862547288778,logistic_regression_baseline
0.75,0.8573350147120639,0.7067354343273997,0.5306490384615384,0.49082823790994995,0.5099624602945423,883,9315,781,916,0.13989071038251366,logistic_regression_baseline
0.8,0.8635561160151324,0.6455324878938731,0.586105675146771,0.3329627570872707,0.42467210209145695,599,9673,423,1200,0.08591845313156789,logistic_regression_baseline
0.8500000000000001,0.8597730138713745,0.5823190478686433,0.6228893058161351,0.18454697053918845,0.2847341337907376,332,9895,201,1467,0.04480874316939891,logistic_regression_baseline
0.9,0.8553173602353931,0.5417785809866196,0.6535433070866141,0.09227348526959422,0.16171456405260595,166,10008,88,1633,0.021353509878100044,logistic_regression_baseline
0.9500000000000001,0.8522908785203868,0.5160128965378724,0.7625,0.0339077265147304,0.06492815327301757,61,10077,19,1738,0.006725514922236234,logistic_regression_baseline
0.05,0.24237074401008826,0.5507153285105566,0.1656003708854891,0.9927737632017788,0.2838525111252384,1786,1097,8999,13,0.9066834804539723,decision_tree_depth4
0.1,0.24237074401008826,0.5507153285105566,0.1656003708854891,0.9927737632017788,0.2838525111252384,1786,1097,8999,13,0.9066834804539723,decision_tree_depth4
0.15000000000000002,0.46078184110971,0.6659040966587354,0.2140289998760689,0.9599777654252363,0.3500202675314147,1727,3754,6342,72,0.6783522488440521,decision_tree_depth4
0.2,0.46078184110971,0.6659040966587354,0.2140289998760689,0.9599777654252363,0.3500202675314147,1727,3754,6342,72,0.6783522488440521,decision_tree_depth4
0.25,0.6907103825136612,0.7718891966746801,0.3148148148148148,0.8882712618121178,0.46487272727272727,1598,6618,3478,201,0.42673392181588904,decision_tree_depth4
0.30000000000000004,0.7199663724253889,0.7834135545015763,0.33625480974775546,0.8743746525847693,0.48571869692758995,1573,6991,3105,226,0.39327448507776375,decision_tree_depth4
0.35000000000000003,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,1566,7121,2975,233,0.3817570407734342,decision_tree_depth4
0.4,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,1566,7121,2975,233,0.3817570407734342,decision_tree_depth4
0.45,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,1566,7121,2975,233,0.3817570407734342,decision_tree_depth4
0.5,0.730306851618327,0.7879062225536462,0.34485796080158554,0.8704836020011117,0.494006309148265,1566,7121,2975,233,0.3817570407734342,decision_tree_depth4
0.55,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,decision_tree_depth4
0.6000000000000001,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,decision_tree_depth4
0.65,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,decision_tree_depth4
0.7000000000000001,0.8323665405632619,0.782019241187876,0.4645325572935613,0.7098387993329628,0.5615655233069481,1277,8624,1472,522,0.2311055065153426,decision_tree_depth4
0.75,0.8656578394283312,0.7120951814223256,0.5640535372848948,0.4919399666481378,0.5255344418052257,885,9412,684,914,0.13190416141235814,decision_tree_depth4
0.8,0.8656578394283312,0.7120951814223256,0.5640535372848948,0.4919399666481378,0.5255344418052257,885,9412,684,914,0.13190416141235814,decision_tree_depth4
0.8500000000000001,0.8654897015552753,0.7049154960627008,0.5659377070907886,0.47470817120622566,0.5163240628778718,854,9441,655,945,0.12686002522068096,decision_tree_depth4
0.9,0.8487599831862127,0.5,0.0,0.0,0.0,0,10096,0,1799,0.0,decision_tree_depth4
0.9500000000000001,0.8487599831862127,0.5,0.0,0.0,0.0,0,10096,0,1799,0.0,decision_tree_depth4
0.05,0.20882723833543507,0.5332391036048377,0.1602998928953945,0.9983324068927182,0.27624394370529876,1796,688,9408,3,0.9419083648591845,random_forest_light
0.1,0.296343001261034,0.5834237291980313,0.17633730666929368,0.9949972206781545,0.299581589958159,1790,1735,8361,9,0.8533837746952501,random_forest_light
0.15000000000000002,0.4501050861706599,0.6673803360997349,0.21309293320425943,0.9788771539744302,0.3499950313027924,1761,3593,6503,38,0.6947456914670029,random_forest_light
0.2,0.5841109709962169,0.7333032570480695,0.25991458206223306,0.9471928849360756,0.40789946140035904,1704,5244,4852,95,0.5511559478772593,random_forest_light
0.25,0.660697772173182,0.7688270149642917,0.29886711023197265,0.9238465814341301,0.45163043478260867,1662,6197,3899,137,0.4675073560319462,random_forest_light
0.30000000000000004,0.6976040353089533,0.7828024395486487,0.3221210922041947,0.9049471928849361,0.4751203852327448,1628,6670,3426,171,0.42488440521227405,random_forest_light
