model,feature,importance,business_interpretation
decision_tree_depth4,numeric__Legit FICO Scores,0.7454479837491251,Credit bureau quality / creditworthiness signal
decision_tree_depth4,numeric__OverdueAccountRatio,0.13230774357170833,Historical repayment stress / delinquency signal
decision_tree_depth4,numeric__Current Balance Amount,0.05365387596289232,Outstanding balance / leverage signal
decision_tree_depth4,numeric__FICO Score,0.021532568603780586,Credit bureau quality / creditworthiness signal
decision_tree_depth4,numeric__AccountsPerCreditHistoryMonth,0.02004456301258299,Requires manual business review
decision_tree_depth4,numeric__Instalment Amount,0.01288858397956511,Repayment burden signal
decision_tree_depth4,numeric__ActiveAccountRatio,0.010259522809162128,Requires manual business review
decision_tree_depth4,numeric__RecentlyOpenedAccountRatio,0.0025916187647897853,Requires manual business review
decision_tree_depth4,numeric__Average Account Age,0.0009448147927446476,Customer maturity / lifecycle signal
decision_tree_depth4,numeric__BalanceToDisbursedRatio,0.00032872475364911704,Outstanding balance / leverage signal
decision_tree_depth4,numeric__InstalmentToDisbursedAmount,0.0,Exposure size signal
decision_tree_depth4,numeric__Legit LTV,0.0,Requires manual business review
decision_tree_depth4,low_cardinality_categorical__Employment Type_Salaried,0.0,Income stability / employment profile signal
decision_tree_depth4,low_cardinality_categorical__Employment Type_Self employed,0.0,Income stability / employment profile signal
decision_tree_depth4,low_cardinality_categorical__Employment Type_Unknown,0.0,Income stability / employment profile signal
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Bureau Excluded,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Exceptional,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Fair,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Poor,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Good,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,numeric__IsHighLTV,0.0,Requires manual business review
decision_tree_depth4,low_cardinality_categorical__FICO Rating_Very Good,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,low_cardinality_categorical__CreditHistoryAgeBand_Established,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,low_cardinality_categorical__CreditHistoryAgeBand_Mature,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,low_cardinality_categorical__CreditHistoryAgeBand_Seasoned,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,low_cardinality_categorical__CreditHistoryAgeBand_Very Young,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,low_cardinality_categorical__CreditHistoryAgeBand_Young,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,low_cardinality_categorical__InquiryIntensityBand_High Inquiries,0.0,Recent credit-seeking behavior
decision_tree_depth4,low_cardinality_categorical__InquiryIntensityBand_Moderate Inquiries,0.0,Recent credit-seeking behavior
decision_tree_depth4,low_cardinality_categorical__InquiryIntensityBand_No Inquiry,0.0,Requires manual business review
decision_tree_depth4,low_cardinality_categorical__InquiryIntensityBand_Single Inquiry,0.0,Requires manual business review
decision_tree_depth4,numeric__IsVeryHighLTV,0.0,Requires manual business review
decision_tree_depth4,numeric__Loan To Value,0.0,Loan exposure relative to asset value
decision_tree_depth4,numeric__InquiryToAccountRatio,0.0,Requires manual business review
decision_tree_depth4,numeric__DisbursementMonth,0.0,Requires manual business review
decision_tree_depth4,numeric__Age,0.0,Customer maturity / lifecycle signal
decision_tree_depth4,numeric__Number of Accounts,0.0,Requires manual business review
decision_tree_depth4,numeric__Number of Active Accounts,0.0,Requires manual business review
decision_tree_depth4,numeric__Number of Overdue Accounts,0.0,Historical repayment stress / delinquency signal
decision_tree_depth4,numeric__Disbursed Amount,0.0,Exposure size signal
decision_tree_depth4,numeric__Number of Accounts Opened Last 6 Months,0.0,Requires manual business review
decision_tree_depth4,numeric__Number of Inquiries,0.0,Recent credit-seeking behavior
decision_tree_depth4,numeric__DisbursementYear,0.0,Requires manual business review
decision_tree_depth4,numeric__DisbursementQuarter,0.0,Requires manual business review
decision_tree_depth4,numeric__DaysSinceDisbursement,0.0,Requires manual business review
decision_tree_depth4,numeric__InquiryPerCreditHistoryMonth,0.0,Requires manual business review
decision_tree_depth4,numeric__IsBureauExcluded,0.0,Requires manual business review
decision_tree_depth4,numeric__FICO Rating Ordinal,0.0,Credit bureau quality / creditworthiness signal
decision_tree_depth4,numeric__HasNegativeCurrentBalance,0.0,Outstanding balance / leverage signal
decision_tree_depth4,numeric__HasZeroCurrentBalance,0.0,Outstanding balance / leverage signal
decision_tree_depth4,numeric__CurrentBalancePositiveAmount,0.0,Outstanding balance / leverage signal
decision_tree_depth4,numeric__InstalmentToDisbursedRatio,0.0,Exposure size signal
decision_tree_depth4,numeric__HasNoActiveAccounts,0.0,Requires manual business review
decision_tree_depth4,numeric__Branch ID,0.0,Requires manual business review
decision_tree_depth4,numeric__RecentlyOpenedAccountsPerCreditHistoryMonth,0.0,Requires manual business review
decision_tree_depth4,State,0.0,Geographic / portfolio mix signal
random_forest_light,numeric__Legit FICO Scores,0.2070395123234513,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__FICO Score,0.1263145319504219,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__OverdueAccountRatio,0.11541467954745975,Historical repayment stress / delinquency signal
random_forest_light,numeric__Number of Overdue Accounts,0.10958678991897867,Historical repayment stress / delinquency signal
random_forest_light,numeric__FICO Rating Ordinal,0.06957366566518161,Credit bureau quality / creditworthiness signal
random_forest_light,low_cardinality_categorical__FICO Rating_Poor,0.04105092031962899,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__Disbursed Amount,0.03907583310219293,Exposure size signal
random_forest_light,numeric__Current Balance Amount,0.035772326733109296,Outstanding balance / leverage signal
random_forest_light,numeric__Number of Active Accounts,0.022642685216685776,Requires manual business review
random_forest_light,numeric__BalanceToDisbursedRatio,0.01907122312790072,Outstanding balance / leverage signal
random_forest_light,numeric__ActiveAccountRatio,0.01731131632175208,Requires manual business review
random_forest_light,numeric__Instalment Amount,0.01679068338666452,Repayment burden signal
random_forest_light,numeric__Number of Accounts,0.01540715388749566,Requires manual business review
random_forest_light,numeric__IsBureauExcluded,0.01425950298009769,Requires manual business review
random_forest_light,numeric__AccountsPerCreditHistoryMonth,0.014231753696974053,Requires manual business review
random_forest_light,low_cardinality_categorical__FICO Rating_Fair,0.01403988261299069,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__HasZeroCurrentBalance,0.013041417643528567,Outstanding balance / leverage signal
random_forest_light,numeric__Average Account Age,0.01148141638380289,Customer maturity / lifecycle signal
random_forest_light,low_cardinality_categorical__FICO Rating_Good,0.011189632458418695,Credit bureau quality / creditworthiness signal
random_forest_light,low_cardinality_categorical__FICO Rating_Bureau Excluded,0.010172719809809837,Credit bureau quality / creditworthiness signal
random_forest_light,low_cardinality_categorical__FICO Rating_Very Good,0.009594522066023547,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__RecentlyOpenedAccountRatio,0.009121680452713887,Requires manual business review
random_forest_light,numeric__InstalmentToDisbursedAmount,0.0068509709620737805,Exposure size signal
random_forest_light,numeric__HasNoActiveAccounts,0.006077241681438653,Requires manual business review
random_forest_light,numeric__InstalmentToDisbursedRatio,0.005931827933849766,Exposure size signal
random_forest_light,numeric__RecentlyOpenedAccountsPerCreditHistoryMonth,0.004676554979051282,Requires manual business review
random_forest_light,numeric__Number of Accounts Opened Last 6 Months,0.003433862516503395,Requires manual business review
random_forest_light,State,0.00330057037855305,Geographic / portfolio mix signal
random_forest_light,numeric__Legit LTV,0.0030689453938010382,Requires manual business review
random_forest_light,numeric__Age,0.002953485117971156,Customer maturity / lifecycle signal
random_forest_light,numeric__Loan To Value,0.002883611765166605,Loan exposure relative to asset value
random_forest_light,numeric__DaysSinceDisbursement,0.0024816343510678756,Requires manual business review
random_forest_light,numeric__Branch ID,0.0020942839188567985,Requires manual business review
random_forest_light,low_cardinality_categorical__CreditHistoryAgeBand_Very Young,0.0020864712824004627,Customer maturity / lifecycle signal
random_forest_light,low_cardinality_categorical__CreditHistoryAgeBand_Young,0.0020836875512768296,Customer maturity / lifecycle signal
random_forest_light,low_cardinality_categorical__CreditHistoryAgeBand_Established,0.0015545301377858148,Customer maturity / lifecycle signal
random_forest_light,low_cardinality_categorical__FICO Rating_Exceptional,0.0013678666972534587,Credit bureau quality / creditworthiness signal
random_forest_light,numeric__InquiryPerCreditHistoryMonth,0.001141493589755502,Requires manual business review
random_forest_light,numeric__InquiryToAccountRatio,0.0009108219456946692,Requires manual business review
random_forest_light,low_cardinality_categorical__CreditHistoryAgeBand_Mature,0.0008737484451274629,Customer maturity / lifecycle signal
random_forest_light,numeric__DisbursementMonth,0.0005538076702079053,Requires manual business review
random_forest_light,low_cardinality_categorical__Employment Type_Salaried,0.0005252828171560301,Income stability / employment profile signal
random_forest_light,low_cardinality_categorical__CreditHistoryAgeBand_Seasoned,0.00047699015797277635,Customer maturity / lifecycle signal
random_forest_light,low_cardinality_categorical__Employment Type_Self employed,0.0004696511297417622,Income stability / employment profile signal
random_forest_light,numeric__DisbursementQuarter,0.00041846250166180257,Requires manual business review
random_forest_light,numeric__Number of Inquiries,0.00039565533685585,Recent credit-seeking behavior
random_forest_light,numeric__IsHighLTV,0.00039291946409602657,Requires manual business review
random_forest_light,low_cardinality_categorical__InquiryIntensityBand_No Inquiry,0.0003047786103291492,Requires manual business review
random_forest_light,low_cardinality_categorical__InquiryIntensityBand_Single Inquiry,0.0002510320507101736,Requires manual business review
random_forest_light,low_cardinality_categorical__Employment Type_Unknown,0.00016861867902537357,Income stability / employment profile signal
random_forest_light,low_cardinality_categorical__InquiryIntensityBand_Moderate Inquiries,7.531010884076725e-05,Recent credit-seeking behavior
random_forest_light,low_cardinality_categorical__InquiryIntensityBand_High Inquiries,6.70280745283057e-06,Recent credit-seeking behavior
random_forest_light,numeric__IsVeryHighLTV,5.330413039034179e-06,Requires manual business review
random_forest_light,numeric__HasNegativeCurrentBalance,0.0,Outstanding balance / leverage signal
